index,time,x,y,z,intensity
77,1580970552655,-0.0001110993,0.0002360397,0.0007412808,1
78,1580970552661,-1.89929999999672E-06,8.78397000000017E-05,0.0009752808,1
79,1580970552667,-1.89929999999672E-06,8.78397000000017E-05,0.0004994808,1
80,1580970552673,-7.59992999999973E-05,0.0003062397,0.0004994808,1
81,1580970552679,-0.0001929993,0.0003491397,0.0008582808,1
82,1580970552685,-4.47992999999952E-05,0.0002789397,0.0007919808,1
83,1580970552690,-4.47992999999952E-05,0.0002789397,0.0007919808,1
84,1580970552696,-5.25992999999975E-05,0.0002009397,0.0007919808,1
85,1580970552702,0.0001190007,0.0004076397,0.0008504808,1
86,1580970552708,-6.42993000000008E-05,0.0001853397,0.0007724808,1
87,1580970552714,-6.42993000000008E-05,0.0001853397,0.0007724808,1
88,1580970552720,-6.8199299999995E-05,0.0003491397,0.0009713808,1
89,1580970552725,-6.8199299999995E-05,0.0002867397,0.0008543808,1
90,1580970552731,-0.0001032993,0.0001541397,0.0006827808,1
91,1580970552737,-0.0001032993,0.0001541397,0.0006827808,1
92,1580970552751,-9.69929999999897E-06,0.0003452397,0.0006554808,1
93,1580970552757,0.0001112007,0.0004466397,0.0009245808,1
94,1580970552762,4.49007000000029E-05,0.0002906397,0.0005579808,1
95,1580970552768,4.49007000000029E-05,0.0002906397,0.0005579808,1
96,1580970552774,-3.30992999999988E-05,0.0003179397,0.0008777808,1
97,1580970552780,3.71007000000006E-05,0.0003608397,0.0007334808,1
98,1580970552786,3.71007000000006E-05,0.0003608397,0.0008738808,1
99,1580970552791,-0.0002046993,0.0003413397,0.0008738808,1
100,1580970552797,9.80069999999972E-06,0.0003842397,0.0003434808,1
101,1580970552803,4.8800700000004E-05,0.0002672397,0.0007373808,1
102,1580970552809,4.8800700000004E-05,0.0002672397,0.0007373808,1
103,1580970552814,-7.59992999999973E-05,0.0004193397,0.0008426808,1
104,1580970552820,-9.15993000000018E-05,0.0003725397,0.0009791808,1
105,1580970552826,-0.0001773993,0.0002009397,0.0006242808,1
